"X1" "X2"
"109" 2.1712286 1.51377507
"110" -0.110761991 4.69226154
"111" 2.29496783 5.42072124
"112" 1.14295165 0.13017192
"113" 0.617089978 2.83817535
"114" 1.22692117 0.784765306
"115" 0.473360667 0.770186389
"116" 0.653358247 4.93344148
"117" 0.0140046157 1.59633268
"118" 1.40830824 4.91199064
"119" 0.085423203 4.98565677
"120" 6.95346826 5.04251028
"121" 1.28854841 5.72271773
"122" 2.44205882 6.55981677
"123" 1.47439722 6.92281604
"124" 1.50968857 0.423383548
"125" 0.708911152 1.92696259
"126" 6.74351097 5.59327053
"127" 1.19888314 -1.76991308
"128" 0.463591705 5.87675592
"129" -1.11404336 0.946390557
"130" 7.80532323 6.1023147
"131" 1.82434739 5.40757741
"132" 2.19961789 -0.821169734
"133" -0.731324079 5.29271949
"134" 2.19095517 -0.185434167
"135" 1.1387101 5.96400884
"136" -1.25074517 -0.350542031
"137" 2.85604676 1.92717505
"138" 7.67649609 5.69599157
"139" 2.90662901 1.24694079
"140" 1.21320993 7.64086825
"141" 1.87514302 5.76554685
"142" 2.63023051 5.55409537
"143" 1.41789035 6.90863452
"144" 8.17272288 5.55090148
"145" 1.02611693 -0.149201446
"146" 1.76826842 7.84372079
"147" 1.27288235 7.58000235
"148" 0.134939917 5.23554109
"149" 1.74347283 5.40938363
"150" 1.14531814 6.92145026
"151" 3.58359732 2.62881378
"152" 3.33428328 5.90988496
"153" 1.26750995 6.20589213
"154" 2.01185673 6.75314375
"155" 0.916583082 5.81346837
"156" 0.55972796 2.14385338
"157" 3.20066085 6.2705157
"158" 1.77198207 0.67943085
"159" 2.15418928 4.90484753
"160" 1.28963297 6.33025968
"161" 6.73906082 5.03065169
"162" 2.4825972 0.878121198
"163" 0.999053803 0.014892487
"164" 0.575650891 0.415503001
"165" 1.24184549 0.143678326
"166" 5.82957408 3.88783976
"167" 0.656295773 7.45855398
"168" 2.3729674 4.7199307
"169" -0.148963454 5.10833719
"170" 2.30799608 1.23493727
"171" 1.845535 2.32539884
"172" 5.9878397 3.7910192
"173" 5.68719089 3.54180936
"174" 1.9044665 1.24711991
"175" 0.0245931192 6.40724494
"176" 1.8422312 -1.59672037
"177" -0.152666689 6.15135192
"178" -0.535412073 6.21941055
"179" 0.387094645 7.41660967
"180" -0.614883362 3.60615726
"181" 1.30463003 7.68305438
"182" 3.44683044 6.54630399
"183" 0.724093815 4.10978217
"184" 6.37523048 4.31647627
"185" 0.68178519 7.48517604
"186" 0.584166428 5.48862565
"187" 0.221035655 5.07928162
"188" 1.03487457 8.00486382
"189" 0.0670312342 2.30779324
"190" 0.145058312 6.0862381
"191" 3.51563949 5.90551541
"192" -1.21743069 2.01812486
"193" 1.2553413 6.52236919
"194" 1.52651115 2.74422557
"195" 0.417820953 4.14281229
"196" 0.783819163 7.22435624
"197" 1.52608873 -1.04848514
"198" 2.62190103 4.08989819
"199" 1.5214118 5.44636807
"200" 1.2708996 5.8331541
"201" -1.1583082 6.57875861
"202" 0.908096659 0.243601515
"203" -1.22799101 0.0915552871
"204" 0.760712169 4.72431851
"205" 0.889125535 5.49148457
"206" 7.19277453 5.37362018
"207" 0.719969516 6.43598975
"208" 2.07924181 0.600321138
"209" 5.61934865 3.66621824
"210" 0.581465174 6.05009709
"211" 2.91693856 7.10829708
"212" 1.75268533 0.0186358473
"213" 1.63434671 6.32185452
"214" 8.09428576 5.08941822
"215" 0.497104996 6.44127704
"216" 0.730307355 2.03845021
"217" 1.88012881 5.93895011
"218" 3.17900554 -0.209545453
"219" 1.58528165 4.2847074
"220" 1.86390248 6.85825822
"221" 1.5205708 3.43286292
"222" 2.91819526 5.72908139
"223" -0.29931913 5.42789197
"224" 1.411945 7.35910175
"225" 2.95511537 6.01819397
"226" 0.166991534 5.83623411
"227" 0.0519364819 5.65715895
"228" 1.75519224 1.90483339
"229" 1.35321852 5.69950925
"230" -0.191479924 6.43436677
"231" 1.2210177 0.0679450662
"232" 1.78380398 6.30847344
"233" -0.0355110244 1.82042904
"234" 2.20118446 3.30215176
"235" 1.04406025 5.74603461
"236" 2.40516077 6.77959745
"237" 0.254717242 0.0216332784
"238" 0.797021306 2.09803561
"239" 0.737141542 1.84090527
"240" 5.67847626 3.11218785
"241" 1.29797955 0.714449431
"242" 0.447203781 6.9090198
"243" 2.53547232 0.222812918
"244" 0.047103278 2.70833703
"245" 1.05170708 6.2424587
"246" 1.22719793 5.31044887
"247" 0.905682707 3.97080835
"248" 0.465742415 0.40936033
"249" 1.06076701 4.90565946
"250" 1.62230178 4.75497328
"251" -0.675943219 1.01942991
"252" 1.6040346 5.23971318
"253" 2.65552208 6.28439369
"254" -0.879363302 2.68361961
"255" 1.35809511 6.18625348
"256" 8.06669542 6.53431901
"257" 0.628853785 0.605463295
"258" 1.20521706 4.38770832
"259" 1.51483282 4.94236568
"260" 2.79508851 6.29377004
"261" 2.11392387 3.78071934
"262" -1.04920085 -0.286354706
"263" 1.92995511 5.87823616
"264" 0.648021223 1.92290319
"265" 1.41531713 5.61488036
"266" -1.71354162 4.35964878
"267" 1.57195184 5.28963241
"268" 2.24183315 0.590291853
"269" 6.83398279 5.33623657
"270" 1.22742337 6.66310138
"271" 0.674958659 8.08548733
"272" 1.51781594 7.32020269
"273" -1.50692688 2.07662159
"274" 1.01552968 1.51154386
"275" 1.11941319 4.97081518
"276" 8.62533136 6.66402501
"277" -0.947690561 1.07572041
"278" 2.29142304 6.98402001
"279" 0.643998438 5.83529671
"280" -0.135169889 4.57055492
